,recommender_model,unique_name,hits,out of,data_context,accuracy,precision,recall,failures,users on test,users on train,unique_product_count,duration,f1,mae,mse,r2
13,TitleWordVec,_books_v3_t45_p90,55,104,books,0.5288461538461539,1.0,0.5288461538461539,0,104,414,855,0.38437938690185547,0.6918238993710691,0.47115384615384615,0.47115384615384615,0.0
14,KNN Basic,_books_v3_t45_p90,15,62,books,0.24193548387096775,1.0,0.24193548387096775,42,104,414,855,102.92799925804138,0.38961038961038963,0.7580645161290323,0.7580645161290323,0.0
15,KNN With Means,_books_v3_t45_p90,15,62,books,0.24193548387096775,1.0,0.24193548387096775,42,104,414,855,103.50901079177856,0.38961038961038963,0.7580645161290323,0.7580645161290323,0.0
16,KNN With ZScore,_books_v3_t45_p90,16,62,books,0.25806451612903225,1.0,0.25806451612903225,42,104,414,855,103.23200106620789,0.41025641025641024,0.7419354838709677,0.7419354838709677,0.0
17,KNN With Means,_books_v3_t45_p90,15,62,books,0.24193548387096775,1.0,0.24193548387096775,42,104,414,855,103.90198707580566,0.38961038961038963,0.7580645161290323,0.7580645161290323,0.0
18,Matrix Basic,_books_v3_t45_p90,2,13,books,0.15384615384615385,1.0,0.15384615384615385,91,104,414,855,47.98300004005432,0.26666666666666666,0.8461538461538461,0.8461538461538461,0.0
19,SVD Factorization,_books_v3_t45_p90,2,13,books,0.15384615384615385,1.0,0.15384615384615385,91,104,414,855,47.76799821853638,0.26666666666666666,0.8461538461538461,0.8461538461538461,0.0
20,SVD PP Matrix Factorization,_books_v3_t45_p90,2,13,books,0.15384615384615385,1.0,0.15384615384615385,91,104,414,855,56.27401518821716,0.26666666666666666,0.8461538461538461,0.8461538461538461,0.0
21,NMF Matrix Factorization,_books_v3_t45_p90,5,13,books,0.38461538461538464,1.0,0.38461538461538464,91,104,414,855,48.02099847793579,0.5555555555555556,0.6153846153846154,0.6153846153846154,0.0
22,Slope One Recommender,_books_v3_t45_p90,2,13,books,0.15384615384615385,1.0,0.15384615384615385,91,104,414,855,49.53101325035095,0.26666666666666666,0.8461538461538461,0.8461538461538461,0.0
23,Slope One Recommender,_books_v3_t45_p90,0,13,books,0.0,0.0,0.0,91,104,414,855,48.196998834609985,0.0,1.0,1.0,0.0
24,WordVec,_movies_v3_t100_p200,65,279,movies,0.23297491039426524,1.0,0.23297491039426524,0,279,1112,753,2.8489997386932373,0.37790697674418605,0.7670250896057348,0.7670250896057348,0.0
25,TitleWordVec,_movies_v3_t100_p200,1,10,movies,0.1,1.0,0.1,269,279,1112,753,0.6374902725219727,0.18181818181818182,0.9,0.9,0.0
26,KNN Basic,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,279,279,1112,753,4.7540857791900635,,,,
27,KNN With Means,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,279,279,1112,753,4.889341592788696,,,,
28,KNN With ZScore,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,279,279,1112,753,5.1152472496032715,,,,
29,KNN With Means,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,279,279,1112,753,4.932255268096924,,,,
30,Matrix Basic,_movies_v3_t100_p200,45,272,movies,0.16544117647058823,1.0,0.16544117647058823,7,279,1112,753,152.40099954605103,0.28391167192429023,0.8345588235294118,0.8345588235294118,0.0
31,SVD Factorization,_movies_v3_t100_p200,45,272,movies,0.16544117647058823,1.0,0.16544117647058823,7,279,1112,753,152.490003824234,0.28391167192429023,0.8345588235294118,0.8345588235294118,0.0
32,SVD PP Matrix Factorization,_movies_v3_t100_p200,41,272,movies,0.15073529411764705,1.0,0.15073529411764705,7,279,1112,753,224.1410014629364,0.26198083067092653,0.8492647058823529,0.8492647058823529,0.0
33,NMF Matrix Factorization,_movies_v3_t100_p200,40,272,movies,0.14705882352941177,1.0,0.14705882352941177,7,279,1112,753,153.05899930000305,0.2564102564102564,0.8529411764705882,0.8529411764705882,0.0
34,Slope One Recommender,_movies_v3_t100_p200,47,272,movies,0.17279411764705882,1.0,0.17279411764705882,7,279,1112,753,174.93700122833252,0.2946708463949843,0.8272058823529411,0.8272058823529411,0.0
35,Slope One Recommender,_movies_v3_t100_p200,41,272,movies,0.15073529411764705,1.0,0.15073529411764705,7,279,1112,753,154.05700016021729,0.26198083067092653,0.8492647058823529,0.8492647058823529,0.0
